D,H Temp,L Temp
1900-01-22,-6,-9
1900-01-23,-7,-7
1900-01-24,-2,-4
1900-01-25,-2,-5
1900-01-26,-3,-4
1900-01-27,-2,-7
1900-01-28,-4,-8
