D,H Temp,L Temp
1900-01-01,-6,-8
1900-01-01,17,10
1900-01-02,-6,-8
1900-01-02,11,2
1900-01-03,3,0
1900-01-04,5,3
1900-01-05,13,8
1900-01-06,11,8
1900-01-07,10,7
