D,H Temp,L Temp
29,1,-1
30,4,3
31,10,7
1,17,10
2,11,2
3,3,0
4,5,3
5,13,8
6,11,8
7,10,7
8,9,4
9,8,4
10,7,3
11,8,3
12,6,3
13,4,2
14,4,-1
15,3,1
16,2,-3
17,-2,-9
18,-3,-10
19,-6,-9
20,-6,-9
21,-6,-8
22,-6,-9
23,-7,-7
24,-2,-4
25,-2,-5
26,-3,-4
27,-2,-7
28,-4,-8
29,-6,-8
30,-6,-7
1,-6,-8
2,-6,-8
