D,H Temp,L Temp
1900-01-15,3,1
1900-01-16,2,-3
1900-01-17,-2,-9
1900-01-18,-3,-10
1900-01-19,-6,-9
1900-01-20,-6,-9
1900-01-21,-6,-8
