D,H Temp,L Temp
29,17,9
30,13,8
31,16,11
1,14,10
2,14,6
3,11,7
4,14,10
5,14,8
6,14,7
7,13,7
8,13,9
9,12,6
10,12,5
11,12,6
12,13,11
13,17,11
14,13,9
15,14,7
16,11,7
17,12,7
18,14,13
19,15,9
20,13,8
21,13,6
22,9,4
23,13,8
24,11,3
25,8,3
26,9,3
27,8,3
28,7,4
29,7,3
30,6,3
1,7,3
2,7,3
